Start,End,Distance
1,1,0.0
1,4000,2.78
1,4001,27.53
1,4002,5.55
1,4006,132.99
1,4008,24.6
1,4010,35.66
1,4011,104.18
1,4012,122.41
1,4014,67.44
1,4015,47.7
1,4016,35.06
1,4018,122.07
1,4021,72.15
1,4027,30.01
1,4032,74.83
1,4033,41.73
1,4034,62.5
1,4035,108.14
1,4045,59.45
1,4048,96.17
1,4059,97.18
1,4064,
1,4071,31.07
1,4077,68.66
1,4087,13.96
1,4088,103.3
1,4105,23.92
1,4114,109.77
1,4116,68.19
1,4126,79.26
1,4139,156.33
1,4142,86.2
1,4144,44.25
1,4152,16.14
1,4164,7.69
1,4168,89.7
1,4176,113.59
1,4179,33.36
1,4191,114.03
1,4196,44.82
1,4207,71.88
1,4211,68.62
1,4212,71.0
1,4221,68.02
1,4222,100.11
1,4228,63.58
1,4232,20.1
1,4234,105.18
1,4248,151.65
1,4250,150.93
1,4252,11.73
1,4253,31.2
1,4258,45.49
1,4259,46.8
1,4273,36.33
1,4274,113.78
1,4303,45.19
1,4316,103.66
1,4324,126.59
1,4327,46.62
1,4330,144.97
1,4332,45.59
1,4339,74.27
1,4361,72.15
1,4374,45.28
1,4377,
1,4379,74.97
1,4381,125.68
1,4385,97.35
1,4389,63.92
1,4400,50.76
1,4414,66.9
1,4415,26.15
1,4418,71.55
1,4422,121.23
1,4426,32.29
1,4432,14.04
1,4433,113.83
1,4438,31.84
1,4443,43.98
1,4467,117.38
1,4472,151.83
1,4480,134.01
1,4482,85.84
1,4495,73.51
1,4496,64.66
1,4498,75.84
1,4501,136.07
1,4512,154.42
1,4519,77.8
1,4536,135.54
1,4545,
1,4550,39.56
1,4568,74.56
1,4601,32.23
1,4603,103.42
1,4617,6.45
1,4622,151.66
1,4624,
1,4625,88.96
1,4631,135.18
1,4644,
1,4652,99.55
1,4681,108.59
1,4686,105.57
1,4696,90.38
1,4716,41.13
1,4717,109.26
1,4721,32.34
1,4732,38.2
1,4740,33.64
1,4759,33.7
1,4765,85.48
1,4769,83.82
1,4771,128.35
1,4772,76.19
1,4805,63.27
1,4806,49.21
1,4809,146.98
1,4817,94.19
1,4832,1.21
1,4850,131.65
1,4852,35.02
1,4853,58.94
1,4863,7.26
1,4878,101.99
1,4888,85.89
1,4889,97.41
1,4910,142.17
1,4915,50.21
1,4919,79.39
1,4925,40.6
1,4931,137.23
1,4942,109.71
1,4946,41.48
1,4953,33.75
1,4963,47.62
1,4964,102.08
1,4968,74.27
1,4969,99.57
1,4970,140.52
1,4996,98.25
1,5005,82.19
1,5033,111.73
1,5039,6.34
1,5049,185.36
1,5050,44.27
1,5051,96.14
1,5054,160.52
1,5067,57.6
1,5076,7.69
1,5086,130.6
1,5087,28.09
1,5095,107.48
1,5096,115.97
1,5105,154.12
1,5106,71.69
1,5111,82.03
1,5118,86.69
1,5120,112.79
1,5125,64.2
1,5137,69.85
1,5140,67.57
1,5143,81.17
1,5155,120.07
1,5162,49.05
1,5164,52.6
1,5174,93.92
1,5181,102.56
1,5189,83.37
1,5200,4.27
1,5201,110.49
1,5205,156.53
1,5207,16.34
1,5212,116.77
1,5213,106.99
1,5215,40.83
1,5226,90.67
1,5229,129.65
1,5231,
1,5232,61.8
1,5233,31.33
1,5241,70.59
1,5257,109.75
1,5259,13.39
1,5261,108.08
1,5292,126.48
1,5304,91.24
1,5309,110.29
1,5311,32.4
